Date,ExchangeRateTo €,Unleaded 95 OCT (€/1000L) (I),Automotive Diesel (€/1000L) (I),Heating gas oil (€/1000L) (II),Fuel oil - Sulphur less than 1% (€/1000Kg) (III)
19/3/2007,1.724732666,918.59,855.36,766.82,
12/3/2007,1.725923369,882.88,842.16,742.04,
5/3/2007,1.725923369,861.34,829.88,742.04,
26/2/2007,1.725923369,850.86,824.35,742.04,
19/2/2007,1.726519337,851.16,824.64,742.30,
12/2/2007,1.726817475,845.35,818.81,736.92,
5/2/2007,1.726817475,841.86,814.94,732.96,
29/1/2007,1.728011059,842.44,815.50,733.47,
22/1/2007,1.728907331,844.52,816.94,733.85,
15/1/2007,1.728907331,860.84,831.36,743.34,
8/1/2007,1.728907331,872.30,853.77,770.89,
18/12/2006,1.729804532,872.17,860.73,776.49,
11/12/2006,1.729804532,867.08,854.77,776.49,
4/12/2006,1.730103806,867.23,854.91,776.63,
27/11/2006,1.730103806,867.23,854.91,776.63,
20/11/2006,1.73100225,869.07,857.45,777.08,
13/11/2006,1.73100225,867.44,857.85,777.08,
6/11/2006,1.73100225,867.44,857.85,777.08,
30/10/2006,1.733102253,869.74,862.05,778.02,
23/10/2006,1.734003815,870.19,862.49,778.43,
16/10/2006,1.734003815,874.56,865.30,796.20,
9/10/2006,1.734003815,892.96,881.84,830.03,
2/10/2006,1.734003815,892.96,881.84,830.03,
25/9/2006,1.734003815,897.87,886.65,831.39,
18/9/2006,1.734605377,912.49,911.60,836.63,
11/9/2006,1.734906315,965.32,942.07,837.73,
4/9/2006,1.735207357,1016.10,948.39,837.88,
28/8/2006,1.735508504,1016.83,948.56,838.02,
21/8/2006,1.736412572,1045.41,949.05,838.46,
14/8/2006,1.736412572,1045.41,949.05,838.46,
7/8/2006,1.737317582,1047.20,949.55,838.90,
31/7/2006,1.739130435,1046.00,950.26,839.77,
24/7/2006,1.739130435,1010.94,943.22,839.77,
17/7/2006,1.739130435,1010.94,943.22,839.77,
10/7/2006,1.739130435,996.24,939.77,842.52,
3/7/2006,1.739130435,975.55,927.86,834.49,
26/6/2006,1.739130435,976.09,927.86,834.49,
19/6/2006,1.739130435,983.57,936.90,834.68,
12/6/2006,1.736714137,982.20,935.60,833.52,
5/6/2006,1.739130435,983.57,936.90,834.68,
29/5/2006,1.739130435,983.57,936.90,834.68,
22/5/2006,1.739130435,983.57,936.90,834.68,
15/5/2006,1.73882803,983.39,936.74,834.53,
8/5/2006,1.73852573,983.22,936.58,834.39,
1/5/2006,1.736111111,967.10,927.24,825.02,
24/4/2006,1.735809755,934.82,900.49,812.12,
10/4/2006,1.735508504,934.66,900.33,811.98,
3/4/2006,1.736111111,917.62,894.15,795.49,
27/3/2006,1.736412572,917.78,894.30,737.00,
20/3/2006,1.737921446,909.89,884.01,730.83,
13/3/2006,1.73852573,894.92,866.93,722.57,
6/3/2006,1.740038281,895.70,867.69,723.19,
27/2/2006,1.740038281,896.19,867.69,723.91,
20/2/2006,1.740341107,899.65,867.84,727.58,
13/2/2006,1.741250218,906.37,862.88,728.09,
6/2/2006,1.742463844,916.31,868.90,735.95,
30/1/2006,1.742463844,916.31,868.90,733.82,
23/1/2006,1.742463844,918.12,868.90,711.22,
16/1/2006,1.743071292,894.58,869.39,720.39,
9/1/2006,1.743071292,868.38,863.19,711.75,
19/12/2005,1.743679163,870.57,865.07,713.46,
12/12/2005,1.744287459,874.22,872.56,718.37,
5/12/2005,1.743679163,873.91,876.23,718.12,
28/11/2005,1.743679163,873.91,876.23,718.12,
21/11/2005,1.743375174,874.39,876.88,725.42,
14/11/2005,1.743983258,893.30,904.53,735.87,
7/11/2005,1.743375174,897.00,911.18,744.56,
24/10/2005,1.744896179,951.37,922.25,818.71,
17/10/2005,1.744896179,974.73,922.25,818.71,
10/10/2005,1.744896179,987.37,927.87,824.60,
3/10/2005,1.744896179,958.40,913.84,810.57,
26/9/2005,1.744896179,958.40,913.84,810.57,
19/9/2005,1.745505324,968.11,919.67,816.55,
12/9/2005,1.745505324,996.56,937.16,834.02,
5/9/2005,1.745505324,945.82,904.49,800.61,
29/8/2005,1.745505324,945.82,904.49,800.61,
22/8/2005,1.745505324,945.82,904.49,800.61,
15/8/2005,1.744896179,897.71,876.74,770.30,
8/8/2005,1.743375174,896.93,875.98,769.63,
1/8/2005,1.742767515,896.62,875.67,769.36,
25/7/2005,1.742767515,888.76,870.97,764.80,
18/7/2005,1.742767515,886.04,868.56,762.39,
11/7/2005,1.743375174,886.35,868.86,762.66,
4/7/2005,1.743679163,886.50,869.01,762.79,
27/6/2005,1.743071292,851.94,852.00,743.79,
20/6/2005,1.743679163,824.64,804.83,699.08,
13/6/2005,1.742160279,823.92,804.13,698.47,
6/6/2005,1.740341107,820.57,801.32,695.75,
30/5/2005,1.735207357,825.92,804.55,697.48,
23/5/2005,1.734003815,841.44,813.63,712.90,
16/5/2005,1.732201628,840.57,817.56,711.59,
9/5/2005,1.726817475,837.96,815.16,710.81,
2/5/2005,1.717327838,833.35,810.68,706.90,
25/4/2005,1.717917884,833.64,810.96,707.15,
18/4/2005,1.716738197,831.40,809.55,705.67,
11/4/2005,1.71556013,833.11,810.83,706.18,
4/4/2005,1.710571331,800.38,791.93,687.44,
21/3/2005,1.714089818,796.49,783.85,679.14,
14/3/2005,1.717917884,792.36,772.65,668.00,
7/3/2005,1.716738197,788.26,760.31,655.73,
28/2/2005,1.712915382,778.97,741.33,637.98,
21/2/2005,1.715265866,779.07,742.92,637.99,
14/2/2005,1.714971703,778.94,742.79,637.88,
7/2/2005,1.716148962,763.51,737.77,631.05,
31/1/2005,1.714677641,762.86,746.06,630.50,
24/1/2005,1.717917884,761.60,741.28,627.07,
17/1/2005,1.718213058,756.43,721.41,622.46,
10/1/2005,1.72146669,757.86,722.78,623.64,
3/1/2005,1.724137931,759.03,723.90,624.60,
